1917,OC(=O)c1cc(I)c(c2cc(I)c(O)c(I)c2)c(I)c1,00000000000000000000000000010000000000000000000000000000000000100000000000000000000000010000000000000000000100000100000000010101000100100001000111100010101001010011110
1918,c1ccccc1c1ccccc1,00000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000001000000000000000011010
1919,c1(cccc(c1c1c(cccc1Cl)Cl)Cl)Cl,00000000000000000000000000000000000000000000000000000000000000100000000000000000000000010000000000000001000100000000000000000100000000100000000011000010000000000011010
1920,c1c(cc(cc1c1cc(cc(c1)Cl)Cl)Cl)Cl,00000000000000000000000000000000000000000000000000000000000000100000000000000000000000010000000000000001000100000000000000000100000000100000000001000000000000000011010
1921,c1c(c(c(cc1c1cc(c(c(c1)Cl)Cl)Cl)Cl)Cl)Cl,00000000000000000000000000000000000000000000000000000000000000100000000000000000000000010000000000000001000100000000000000000100000000100000000011000010000000000011010
1922,c1ccccc1c1cc(c(c(c1)Cl)O)Cl,00000000000000000000000000000000000000000000000000000000000000100000000000000000000000010000000000000001000100000100000000000101000000100001000111000010100001000011110
1923,c1ccccc1c1c(c(cc(c1)Cl)Cl)O,00000000000000000000000000000000000000000000000000000000000000100000000000000000000000010000000000000001000100000100000000000101000000100001000111000010100001000011110
1924,c1cc(ccc1c1c(cc(cc1Cl)Cl)Cl)O,00000000000000000000000000000000000000000000000000000000000000100000000000000000000000010000000000000001000100000100000000000101000000100001000111000010100001000011110
1925,c1cc(ccc1c1cc(c(c(c1)Cl)O)Cl)Cl,00000000000000000000000000000000000000000000000000000000000000100000000000000000000000010000000000000001000100000100000000000101000000100001000111000010100001000011110
1926,c1cc(ccc1c1c(c(c(c(c1)Cl)Cl)Cl)Cl)O,00000000000000000000000000000000000000000000000000000000000000100000000000000000000000010000000000000001000100000100000000000101000000100001000111000010100001000011110
1927,c1cc(ccc1c1c(c(c(c(c1Cl)Cl)O)Cl)Cl)O,00000000000000000000000000000000000000000000000000000000000000100000000000000000000000010000000000000001000100000100000000000101000100100001000111000010100001010011110
1928,c1c(c(c(cc1c1cc(c(c(c1)Cl)O)Cl)Cl)O)Cl,00000000000000000000000000000000000000000000000000000000000000100000000000000000000000010000000000000001000100000100000000000101000100100001000111000010100001010011110
1929,c1c(c(c(cc1c1c(c(c(c(c1)Cl)Cl)Cl)O)Cl)Cl)Cl,00000000000000000000000000000000000000000000000000000000000000100000000000000000000000010000000000000001000100000100000000000101000000100001000111000010100001000011110
1930,CC(C)[C@H](C)[C@@H](O)[C@H](O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](O)[C@H](O)C[C@]4(C)[C@H]3CC[C@]12C,00000000000000000001000000000000000000000000000000000010010000000010000010100000000000000011000010000100110011001001101000010001110110000101110101110110111001011001110
1931,CC(C)[C@H](C)[C@@H](O)[C@H](O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC(=O)[C@H]4C[C@H](O)[C@H](O)C[C@]4(C)[C@H]3CC[C@]12C,00000000000000000000000000000000000000000000000000000010000000000010000010100000000000000011000010000100110010001001101000000001110110000001110101110110101001011001110
1932,OC(=O)c1cc(ccc1O)-c1ccc(F)cc1F,00000000000000000000000000000000000000000010000000000100000000100000000000000000000000010100000000000000000100000100000000010101000100100001000111100010101001010011110
1933,OC(=O)c1ccc(cc1)-c1cc(F)cc(F)c1,00000000000000000000000000000000000000000010000000000000000000100000000000000000000000010000000000000000000100000000000000010100000000100001000001000000001001010011110
1934,OC(=O)c1cccc(c1)-c1c(F)cccc1F,00000000000000000000000000000000000000000010000000000000000000100000000000000000000000010000000000000000000100000000000000010100000000100001000011000010001001010011110
1935,OC(=O)c1cc(ccc1O)-c1ccc(Cl)cc1Cl,00000000000000000000000000000000000000000000000000000100000000100000000000000000000000010100000000000001000100000100000000010101000100100001000111100010101001010011110
1936,Oc1c(Cl)cc(cc1Cl)-c1cc(Cl)c(O)c(Cl)c1,00000000000000000000000000000000000000000000000000000000000000100000000000000000000000010000000000000001000100000100000000000101000100100001000111000010100001010011110
1937,CN(CCN(C)Cc1coc2cc(C)c(C)cc2c1=O)Cc1cn(-c2cccc(c2)C(F)(F)F)c2ccccc12,00000000000000000000000000000000000000000010000000000000010000100100000000010001100101100100010011101100011100011101101011100101010001110110011111011110111110111111110
1938,Oc1ccc(Br)cc1-c1cc(-c2ccccc2)c(C#N)c(=O)[nH]1,00000000000000000000000000000000000000000100001000000100000000100100000000000000100000010000100001100000000100100100010001000101000100100101001111000011101011010111110
1939,Clc1ccc(cc1)-n1ccc2ccccc12,00000000000000000000000000000000000000000000000000000000000000100100000000010000000101010000000010000101010100000000000001100100000001110100000001001000000010100111010
1940,Clc1cccc(Nc2ccc3ccccc3c2)c1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000101010100000000000000000100000001110000000001000001000010100111010
1941,CC1(C)NC(=O)N(CC(COc2ccc(cc2)-c2ccc(OC(F)(F)F)cc2)=NO)C1=O,00000000000000000000000010000000000001000010000000000000000000100010010100110111000101000111101111001010001111111100010111101111000100101111101101101111111111111111110
1942,Brc1cccc(c1)-c1cnc2ccccc2c1,00000000000000000000000000000000000000000000001000000000000000100100000000000000000000010000000000100100010100000000000001000100000000100100000001000000000010000111010
1943,CCc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1,00000000000000000000000000010000000000000000000000000000010000000000000000000000000100010100000010000100010100000110000000000101000010100101000111100010101101011011110
1944,Cc1ccnc(NC(=O)C2CCNCC2)c1,00000000000000000000000000000000000000100000000000000000000000000100000000000100001000100011100001101000100000110000011011000000110101010110001001010001011010101111110
1945,Oc1ccccc1-c1cc(-c2ccccc2)c(C#N)c(=O)[nH]1,00000000000000000000000000000000000000000100000000000100000000100100000000000000100000000000100001100000000000100100010001000101000100000101001111000011101011010111110
1946,Oc1ccc(cc1-c1cc(-c2cc(Cl)ccc2Cl)c(C#N)c(=O)[nH]1)-c1ccccc1,00000000000000000000000000000000000000000100000000000100000000100100000000000000100000010000100001100001000100100100010001000101000100100101001111000011101011010111110
1947,Oc1ccc(cc1-c1cc(-c2cc(Cl)ccc2Cl)c(C#N)c(=O)[nH]1)C1CCCC1,00000000000000000000000000000000000000000100000000000100000000100100000000000000100000010000100011100001000100100100011001000101010100100101001111010011101011010111110
